timestamp,energy_kwh,bandwidth_mbps,footfall,aqi,aqi_category,event_attendance,is_weekend
2025-12-09 15:27:03.135504,83.45,883.7,3846,94,Moderate,0,0
2025-12-09 16:27:03.135504,84.65,858.8,3660,81,Moderate,0,0
2025-12-09 17:27:03.135504,75.16,791.2,3378,108,Unhealthy-SG,0,0
2025-12-09 18:27:03.135504,72.93,658.8,3157,95,Moderate,0,0
2025-12-09 19:27:03.135504,24.13,576.9,1455,96,Moderate,0,0
2025-12-09 20:27:03.135504,25.65,557.2,1414,59,Moderate,0,0
2025-12-09 21:27:03.135504,23.23,571.5,1354,68,Moderate,0,0
2025-12-09 22:27:03.135504,26.74,615.1,1643,52,Moderate,0,0
2025-12-09 23:27:03.135504,26.01,609.3,196,60,Moderate,0,0
2025-12-10 00:27:03.135504,21.09,165.1,186,57,Moderate,0,0
2025-12-10 01:27:03.135504,21.77,121.3,207,44,Good,0,0
2025-12-10 02:27:03.135504,30.57,163.6,240,55,Moderate,0,0
2025-12-10 03:27:03.135504,26.26,137.7,213,43,Good,0,0
2025-12-10 04:27:03.135504,28.18,163.7,200,57,Moderate,0,0
2025-12-10 05:27:03.135504,22.96,163.1,177,66,Moderate,0,0
2025-12-10 06:27:03.135504,23.8,163.2,219,59,Moderate,0,0
2025-12-10 07:27:03.135504,24.25,117.4,214,67,Moderate,0,0
2025-12-10 08:27:03.135504,65.08,132.3,2680,104,Unhealthy-SG,0,0
2025-12-10 09:27:03.135504,75.92,787.4,2770,107,Unhealthy-SG,0,0
2025-12-10 10:27:03.135504,82.9,855.7,3614,116,Unhealthy-SG,0,0
2025-12-10 11:27:03.135504,84.73,963.0,3465,66,Moderate,0,0
2025-12-10 12:27:03.135504,87.21,916.2,4232,85,Moderate,0,0
2025-12-10 13:27:03.135504,92.52,990.6,4155,79,Moderate,0,0
2025-12-10 14:27:03.135504,90.41,931.6,3757,70,Moderate,0,0
2025-12-10 15:27:03.135504,86.7,952.4,3949,88,Moderate,0,0
2025-12-10 16:27:03.135504,78.44,878.1,3544,86,Moderate,252,0
2025-12-10 17:27:03.135504,72.76,859.3,3381,123,Unhealthy-SG,230,0
2025-12-10 18:27:03.135504,67.78,646.1,3260,110,Unhealthy-SG,286,0
2025-12-10 19:27:03.135504,26.79,552.7,1493,98,Moderate,124,0
2025-12-10 20:27:03.135504,24.27,613.5,1880,77,Moderate,0,0
2025-12-10 21:27:03.135504,24.96,539.1,1416,66,Moderate,0,0
2025-12-10 22:27:03.135504,22.14,662.1,1340,53,Moderate,0,0
2025-12-10 23:27:03.135504,22.71,632.6,202,61,Moderate,0,0
2025-12-11 00:27:03.135504,25.11,171.7,200,62,Moderate,0,0
2025-12-11 01:27:03.135504,25.89,186.3,185,61,Moderate,0,0
2025-12-11 02:27:03.135504,27.63,147.5,183,45,Good,0,0
2025-12-11 03:27:03.135504,29.85,147.8,233,47,Good,0,0
2025-12-11 04:27:03.135504,29.25,104.7,204,66,Moderate,0,0
2025-12-11 05:27:03.135504,25.58,130.4,201,50,Good,0,0
2025-12-11 06:27:03.135504,24.95,132.1,225,64,Moderate,0,0
2025-12-11 07:27:03.135504,23.4,166.8,192,47,Good,0,0
2025-12-11 08:27:03.135504,69.93,134.2,3336,104,Unhealthy-SG,0,0
2025-12-11 09:27:03.135504,77.48,742.2,3489,106,Unhealthy-SG,0,0
2025-12-11 10:27:03.135504,82.03,830.8,3777,103,Unhealthy-SG,0,0
2025-12-11 11:27:03.135504,83.36,966.8,3371,83,Moderate,0,0
2025-12-11 12:27:03.135504,89.46,1010.0,3961,79,Moderate,0,0
2025-12-11 13:27:03.135504,85.13,907.4,3863,73,Moderate,0,0
2025-12-11 14:27:03.135504,91.77,978.8,4026,83,Moderate,0,0
2025-12-11 15:27:03.135504,84.93,892.7,4207,79,Moderate,0,0
2025-12-11 16:27:03.135504,81.55,837.0,3144,76,Moderate,0,0
2025-12-11 17:27:03.135504,80.08,797.8,3218,107,Unhealthy-SG,0,0
2025-12-11 18:27:03.135504,69.22,547.5,3127,105,Unhealthy-SG,0,0
2025-12-11 19:27:03.135504,22.49,631.5,1716,104,Unhealthy-SG,0,0
2025-12-11 20:27:03.135504,22.13,551.4,1252,85,Moderate,0,0
2025-12-11 21:27:03.135504,25.03,530.1,1778,78,Moderate,0,0
2025-12-11 22:27:03.135504,26.86,579.6,1537,70,Moderate,0,0
2025-12-11 23:27:03.135504,25.84,601.9,172,73,Moderate,0,0
2025-12-12 00:27:03.135504,20.95,129.4,205,57,Moderate,0,0
2025-12-12 01:27:03.135504,26.19,154.5,183,53,Moderate,0,0
2025-12-12 02:27:03.135504,24.87,142.8,179,41,Good,0,0
2025-12-12 03:27:03.135504,21.58,131.3,195,66,Moderate,0,0
2025-12-12 04:27:03.135504,24.95,116.9,203,66,Moderate,0,0
2025-12-12 05:27:03.135504,21.84,133.2,174,63,Moderate,0,0
2025-12-12 06:27:03.135504,29.84,132.4,198,48,Good,0,0
2025-12-12 07:27:03.135504,24.65,135.7,184,63,Moderate,0,0
2025-12-12 08:27:03.135504,70.84,146.9,2553,91,Moderate,0,0
2025-12-12 09:27:03.135504,79.7,773.9,3554,104,Unhealthy-SG,0,0
2025-12-12 10:27:03.135504,82.19,917.0,3631,100,Moderate,0,0
2025-12-12 11:27:03.135504,90.22,924.2,3846,75,Moderate,0,0
2025-12-12 12:27:03.135504,85.99,1022.1,3723,86,Moderate,0,0
2025-12-12 13:27:03.135504,85.77,938.6,4123,89,Moderate,0,0
2025-12-12 14:27:03.135504,89.5,1003.3,3744,79,Moderate,0,0
2025-12-12 15:27:03.135504,86.27,915.5,3714,89,Moderate,0,0
2025-12-12 16:27:03.135504,74.07,888.3,3624,84,Moderate,105,0
2025-12-12 17:27:03.135504,73.29,818.7,3010,97,Moderate,132,0
2025-12-12 18:27:03.135504,75.77,582.3,3092,111,Unhealthy-SG,89,0
2025-12-12 19:27:03.135504,27.16,616.4,1480,81,Moderate,106,0
2025-12-12 20:27:03.135504,27.57,522.0,1543,67,Moderate,0,0
2025-12-12 21:27:03.135504,23.21,620.5,1378,53,Moderate,0,0
2025-12-12 22:27:03.135504,25.54,584.6,1508,42,Good,0,0
2025-12-12 23:27:03.135504,25.84,533.0,200,48,Good,0,0
2025-12-13 00:27:03.135504,19.69,189.6,103,47,Good,0,1
2025-12-13 01:27:03.135504,17.3,142.5,105,52,Moderate,0,1
2025-12-13 02:27:03.135504,19.76,186.3,99,68,Moderate,0,1
2025-12-13 03:27:03.135504,20.43,214.7,105,48,Good,0,1
2025-12-13 04:27:03.135504,18.86,169.8,98,52,Moderate,0,1
2025-12-13 05:27:03.135504,20.77,179.5,106,59,Moderate,0,1
2025-12-13 06:27:03.135504,28.57,190.4,72,64,Moderate,0,1
2025-12-13 07:27:03.135504,34.21,189.1,98,65,Moderate,0,1
2025-12-13 08:27:03.135504,29.04,213.8,93,107,Unhealthy-SG,0,1
2025-12-13 09:27:03.135504,40.33,230.3,103,97,Moderate,0,1
2025-12-13 10:27:03.135504,36.62,254.5,466,98,Moderate,0,1
2025-12-13 11:27:03.135504,38.19,198.0,477,73,Moderate,0,1
2025-12-13 12:27:03.135504,36.47,262.8,471,85,Moderate,0,1
2025-12-13 13:27:03.135504,42.02,183.6,489,76,Moderate,0,1
2025-12-13 14:27:03.135504,37.28,194.8,527,92,Moderate,0,1
2025-12-13 15:27:03.135504,40.09,185.2,598,98,Moderate,0,1
2025-12-13 16:27:03.135504,34.19,263.4,471,83,Moderate,0,1
2025-12-13 17:27:03.135504,31.7,234.6,88,101,Unhealthy-SG,0,1
2025-12-13 18:27:03.135504,32.91,185.7,101,84,Moderate,117,1
2025-12-13 19:27:03.135504,21.33,152.7,87,101,Unhealthy-SG,248,1
2025-12-13 20:27:03.135504,24.68,189.0,94,66,Moderate,144,1
2025-12-13 21:27:03.135504,17.74,200.8,105,54,Moderate,220,1
2025-12-13 22:27:03.135504,21.02,228.1,94,60,Moderate,0,1
2025-12-13 23:27:03.135504,21.31,159.5,82,45,Good,0,1
2025-12-14 00:27:03.135504,16.48,193.1,106,66,Moderate,0,1
2025-12-14 01:27:03.135504,18.31,142.7,98,62,Moderate,0,1
2025-12-14 02:27:03.135504,21.45,234.2,96,57,Moderate,0,1
2025-12-14 03:27:03.135504,17.69,188.0,97,65,Moderate,0,1
2025-12-14 04:27:03.135504,18.32,229.8,116,58,Moderate,0,1
2025-12-14 05:27:03.135504,21.72,252.8,91,61,Moderate,0,1
2025-12-14 06:27:03.135504,30.67,165.6,98,73,Moderate,0,1
2025-12-14 07:27:03.135504,29.78,212.8,97,64,Moderate,0,1
2025-12-14 08:27:03.135504,37.04,209.6,109,99,Moderate,0,1
2025-12-14 09:27:03.135504,42.16,211.8,95,115,Unhealthy-SG,0,1
2025-12-14 10:27:03.135504,37.52,224.7,497,105,Unhealthy-SG,0,1
2025-12-14 11:27:03.135504,38.28,220.3,518,75,Moderate,0,1
2025-12-14 12:27:03.135504,37.35,240.6,466,87,Moderate,0,1
2025-12-14 13:27:03.135504,41.48,160.9,475,87,Moderate,0,1
2025-12-14 14:27:03.135504,40.01,127.1,481,91,Moderate,0,1
2025-12-14 15:27:03.135504,35.99,197.9,513,97,Moderate,0,1
2025-12-14 16:27:03.135504,29.49,183.7,468,77,Moderate,0,1
2025-12-14 17:27:03.135504,30.84,139.8,97,103,Unhealthy-SG,0,1
2025-12-14 18:27:03.135504,33.81,183.8,96,96,Moderate,0,1
2025-12-14 19:27:03.135504,19.76,243.9,102,96,Moderate,0,1
2025-12-14 20:27:03.135504,19.55,196.6,102,68,Moderate,0,1
2025-12-14 21:27:03.135504,19.98,240.3,108,76,Moderate,0,1
2025-12-14 22:27:03.135504,20.73,218.3,105,62,Moderate,0,1
2025-12-14 23:27:03.135504,23.68,180.9,102,71,Moderate,0,1
2025-12-15 00:27:03.135504,25.98,156.3,210,53,Moderate,0,0
2025-12-15 01:27:03.135504,18.45,124.5,198,64,Moderate,0,0
2025-12-15 02:27:03.135504,28.51,152.5,202,53,Moderate,0,0
2025-12-15 03:27:03.135504,23.62,156.3,174,48,Good,0,0
2025-12-15 04:27:03.135504,29.13,156.0,195,60,Moderate,0,0
2025-12-15 05:27:03.135504,26.91,163.8,204,59,Moderate,0,0
2025-12-15 06:27:03.135504,29.13,134.9,181,70,Moderate,0,0
2025-12-15 07:27:03.135504,30.06,186.8,244,64,Moderate,0,0
2025-12-15 08:27:03.135504,71.71,106.1,2801,104,Unhealthy-SG,0,0
2025-12-15 09:27:03.135504,77.87,821.5,3450,98,Moderate,0,0
2025-12-15 10:27:03.135504,81.12,929.7,3747,119,Unhealthy-SG,0,0
2025-12-15 11:27:03.135504,86.03,863.5,4284,73,Moderate,0,0
2025-12-15 12:27:03.135504,89.16,960.9,3679,67,Moderate,0,0
2025-12-15 13:27:03.135504,91.49,929.1,4659,91,Moderate,0,0
2025-12-15 14:27:03.135504,89.82,1023.6,4005,93,Moderate,0,0
2025-12-15 15:27:03.135504,78.4,1024.3,4024,84,Moderate,0,0
2025-12-15 16:27:03.135504,78.14,833.6,3898,84,Moderate,0,0
2025-12-15 17:27:03.135504,70.85,843.6,3264,107,Unhealthy-SG,0,0
2025-12-15 18:27:03.135504,72.09,586.7,3240,106,Unhealthy-SG,0,0
2025-12-15 19:27:03.135504,24.73,570.0,1485,104,Unhealthy-SG,0,0
2025-12-15 20:27:03.135504,25.11,567.8,1576,67,Moderate,0,0
2025-12-15 21:27:03.135504,22.83,608.8,1403,74,Moderate,0,0
2025-12-15 22:27:03.135504,20.99,608.2,1705,72,Moderate,0,0
2025-12-15 23:27:03.135504,24.75,552.3,180,61,Moderate,0,0
2025-12-16 00:27:03.135504,23.16,176.0,200,68,Moderate,0,0
2025-12-16 01:27:03.135504,21.4,154.5,195,59,Moderate,0,0
2025-12-16 02:27:03.135504,22.56,138.0,177,56,Moderate,0,0
2025-12-16 03:27:03.135504,21.75,136.1,195,67,Moderate,0,0
2025-12-16 04:27:03.135504,27.55,156.2,238,80,Moderate,0,0
2025-12-16 05:27:03.135504,25.48,130.1,214,74,Moderate,0,0
2025-12-16 06:27:03.135504,24.43,148.5,234,73,Moderate,0,0
2025-12-16 07:27:03.135504,24.08,179.5,194,75,Moderate,0,0
2025-12-16 08:27:03.135504,69.13,148.3,2998,100,Moderate,0,0
2025-12-16 09:27:03.135504,78.91,863.5,3597,92,Moderate,0,0
2025-12-16 10:27:03.135504,78.4,923.9,3859,106,Unhealthy-SG,0,0
2025-12-16 11:27:03.135504,88.9,894.6,3745,96,Moderate,0,0
2025-12-16 12:27:03.135504,86.45,974.2,3950,101,Unhealthy-SG,0,0
2025-12-16 13:27:03.135504,91.14,1009.5,4083,95,Moderate,0,0
2025-12-16 14:27:03.135504,91.08,1005.0,3661,91,Moderate,0,0
2025-12-16 15:27:03.135504,88.06,860.3,3868,100,Moderate,0,0
2025-12-16 16:27:03.135504,83.13,896.1,3264,90,Moderate,0,0
2025-12-16 17:27:03.135504,72.05,791.6,3283,105,Unhealthy-SG,0,0
2025-12-16 18:27:03.135504,69.65,558.3,2930,124,Unhealthy-SG,0,0
2025-12-16 19:27:03.135504,26.01,572.2,1524,107,Unhealthy-SG,0,0
2025-12-16 20:27:03.135504,27.95,612.0,1541,84,Moderate,0,0
2025-12-16 21:27:03.135504,26.93,542.5,1720,72,Moderate,0,0
2025-12-16 22:27:03.135504,27.97,636.4,1413,64,Moderate,0,0
2025-12-16 23:27:03.135504,23.01,637.0,207,65,Moderate,0,0
2025-12-17 00:27:03.135504,24.62,139.4,205,65,Moderate,0,0
2025-12-17 01:27:03.135504,25.02,174.3,180,46,Good,0,0
2025-12-17 02:27:03.135504,22.49,147.1,169,60,Moderate,0,0
2025-12-17 03:27:03.135504,27.4,162.7,196,53,Moderate,0,0
2025-12-17 04:27:03.135504,27.0,157.9,186,50,Good,0,0
2025-12-17 05:27:03.135504,23.92,155.3,219,75,Moderate,0,0
2025-12-17 06:27:03.135504,20.61,136.3,209,60,Moderate,0,0
2025-12-17 07:27:03.135504,22.94,144.3,178,71,Moderate,0,0
2025-12-17 08:27:03.135504,71.96,166.0,2849,100,Moderate,0,0
2025-12-17 09:27:03.135504,74.2,744.8,3266,104,Unhealthy-SG,0,0
2025-12-17 10:27:03.135504,85.14,876.0,3937,103,Unhealthy-SG,0,0
2025-12-17 11:27:03.135504,84.83,949.6,3830,91,Moderate,0,0
2025-12-17 12:27:03.135504,85.59,963.2,4394,89,Moderate,0,0
2025-12-17 13:27:03.135504,84.86,981.8,4077,90,Moderate,0,0
2025-12-17 14:27:03.135504,86.34,936.9,4017,102,Unhealthy-SG,0,0
2025-12-17 15:27:03.135504,81.25,955.4,3612,101,Unhealthy-SG,0,0
2025-12-17 16:27:03.135504,77.66,927.1,3814,83,Moderate,135,0
2025-12-17 17:27:03.135504,74.31,779.9,3401,104,Unhealthy-SG,87,0
2025-12-17 18:27:03.135504,70.1,618.2,2815,111,Unhealthy-SG,168,0
2025-12-17 19:27:03.135504,28.19,578.4,1475,108,Unhealthy-SG,236,0
2025-12-17 20:27:03.135504,24.72,565.9,1406,69,Moderate,0,0
2025-12-17 21:27:03.135504,22.16,573.2,1792,70,Moderate,0,0
2025-12-17 22:27:03.135504,26.43,617.3,1489,72,Moderate,0,0
2025-12-17 23:27:03.135504,23.85,537.0,221,56,Moderate,0,0
2025-12-18 00:27:03.135504,25.98,188.3,233,73,Moderate,0,0
2025-12-18 01:27:03.135504,24.93,192.1,214,52,Moderate,0,0
2025-12-18 02:27:03.135504,34.03,142.2,181,56,Moderate,0,0
2025-12-18 03:27:03.135504,23.77,155.3,201,53,Moderate,0,0
2025-12-18 04:27:03.135504,28.43,141.2,177,65,Moderate,0,0
2025-12-18 05:27:03.135504,21.61,168.3,192,57,Moderate,0,0
2025-12-18 06:27:03.135504,25.3,119.2,184,76,Moderate,0,0
2025-12-18 07:27:03.135504,25.38,169.9,212,76,Moderate,0,0
2025-12-18 08:27:03.135504,75.37,158.0,2880,106,Unhealthy-SG,0,0
2025-12-18 09:27:03.135504,71.57,797.8,3204,114,Unhealthy-SG,0,0
2025-12-18 10:27:03.135504,80.97,908.7,3229,94,Moderate,0,0
2025-12-18 11:27:03.135504,89.45,916.8,3583,72,Moderate,0,0
2025-12-18 12:27:03.135504,91.62,981.9,4059,88,Moderate,0,0
2025-12-18 13:27:03.135504,86.16,994.0,4137,87,Moderate,0,0
2025-12-18 14:27:03.135504,90.17,1023.2,4232,98,Moderate,0,0
2025-12-18 15:27:03.135504,83.1,839.0,3655,95,Moderate,0,0
2025-12-18 16:27:03.135504,79.26,917.1,3179,101,Unhealthy-SG,0,0
2025-12-18 17:27:03.135504,80.22,835.4,3018,110,Unhealthy-SG,0,0
2025-12-18 18:27:03.135504,67.83,573.0,2989,102,Unhealthy-SG,0,0
2025-12-18 19:27:03.135504,22.68,542.1,1565,99,Moderate,0,0
2025-12-18 20:27:03.135504,18.98,624.8,1486,93,Moderate,0,0
2025-12-18 21:27:03.135504,24.25,539.8,1461,68,Moderate,0,0
2025-12-18 22:27:03.135504,23.55,482.9,1563,55,Moderate,0,0
2025-12-18 23:27:03.135504,20.96,628.4,201,70,Moderate,0,0
2025-12-19 00:27:03.135504,22.57,178.6,216,48,Good,0,0
2025-12-19 01:27:03.135504,18.49,159.3,216,66,Moderate,0,0
2025-12-19 02:27:03.135504,24.6,140.7,171,74,Moderate,0,0
2025-12-19 03:27:03.135504,27.65,116.6,238,71,Moderate,0,0
2025-12-19 04:27:03.135504,24.13,131.8,191,66,Moderate,0,0
2025-12-19 05:27:03.135504,24.6,151.1,202,77,Moderate,0,0
2025-12-19 06:27:03.135504,18.51,123.4,233,72,Moderate,0,0
2025-12-19 07:27:03.135504,22.68,138.4,212,64,Moderate,0,0
2025-12-19 08:27:03.135504,71.24,158.6,3130,97,Moderate,0,0
2025-12-19 09:27:03.135504,75.58,772.1,3423,99,Moderate,0,0
2025-12-19 10:27:03.135504,80.24,867.8,3523,120,Unhealthy-SG,0,0
2025-12-19 11:27:03.135504,85.06,927.2,3945,89,Moderate,0,0
2025-12-19 12:27:03.135504,81.78,1012.8,3946,96,Moderate,0,0
2025-12-19 13:27:03.135504,88.78,965.3,3451,90,Moderate,0,0
2025-12-19 14:27:03.135504,85.19,996.8,3743,88,Moderate,0,0
2025-12-19 15:27:03.135504,89.9,969.5,3308,94,Moderate,0,0
2025-12-19 16:27:03.135504,82.81,859.0,3745,87,Moderate,258,0
2025-12-19 17:27:03.135504,78.22,801.6,3226,108,Unhealthy-SG,288,0
2025-12-19 18:27:03.135504,72.16,644.1,2972,107,Unhealthy-SG,142,0
2025-12-19 19:27:03.135504,23.33,548.6,1589,110,Unhealthy-SG,257,0
2025-12-19 20:27:03.135504,23.51,504.0,1538,75,Moderate,0,0
2025-12-19 21:27:03.135504,26.89,661.8,1502,89,Moderate,0,0
2025-12-19 22:27:03.135504,26.19,592.4,1448,67,Moderate,0,0
2025-12-19 23:27:03.135504,29.03,531.3,191,61,Moderate,0,0
2025-12-20 00:27:03.135504,15.0,165.1,86,64,Moderate,0,1
2025-12-20 01:27:03.135504,17.29,182.9,100,58,Moderate,0,1
2025-12-20 02:27:03.135504,23.36,219.9,106,72,Moderate,0,1
2025-12-20 03:27:03.135504,24.44,220.3,105,71,Moderate,0,1
2025-12-20 04:27:03.135504,20.58,206.2,89,64,Moderate,0,1
2025-12-20 05:27:03.135504,16.21,195.0,103,81,Moderate,0,1
